   0.0 TEL | Telepresence 0.104 launched at Mon Feb 24 21:41:05 2020
   0.0 TEL |   /usr/bin/telepresence --namespace workspace-demo --deployment recommendation-v1-v1-feature-x --expose 8083:8080 --method inject-tcp --run mvn compile quarkus:dev -Ddebug=5003 -Dsuspend=n -Dquarkus.http.port=8083
   0.0 TEL | uname: uname_result(system='Linux', node='localhost.localdomain', release='5.5.5-200.fc31.x86_64', version='#1 SMP Wed Feb 19 23:28:07 UTC 2020', machine='x86_64', processor='x86_64')
   0.0 TEL | Platform: linux
   0.0 TEL | WSL: False
   0.0 TEL | Python 3.7.6 (default, Jan 30 2020, 09:44:41)
   0.0 TEL | [GCC 9.2.1 20190827 (Red Hat 9.2.1-1)]
   0.0 TEL | BEGIN SPAN main.py:40(main)
   0.0 TEL | BEGIN SPAN startup.py:83(set_kube_command)
   0.0 TEL | Found kubectl -> /usr/bin/kubectl
   0.0 TEL | Found oc -> /home/aslak/.asdf/shims/oc
   0.0 TEL | [1] Capturing: kubectl config current-context
   0.1 TEL | [1] captured in 0.12 secs.
   0.1 TEL | [2] Capturing: kubectl --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak version --short
   1.0 TEL | [2] captured in 0.91 secs.
   1.0 TEL | [3] Capturing: kubectl --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak config view -o json
   1.2 TEL | [3] captured in 0.13 secs.
   1.2 TEL | [4] Capturing: kubectl --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak get ns workspace-demo
   1.9 TEL | [4] captured in 0.71 secs.
   1.9 TEL | [5] Capturing: kubectl --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak api-versions
   2.9 TEL | [5] captured in 1.02 secs.
   2.9 TEL | Command: oc 1.10.0+d4cacc0
   2.9 TEL | Context: workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak, namespace: workspace-demo, version: 1.16.2
   2.9 TEL | [6] Capturing: minishift ip
   2.9 TEL | [6] [Errno 2] No such file or directory: 'minishift': 'minishift'
   2.9 >>> | Warning: kubectl 1.10.0+d4cacc0 may not work correctly with cluster version 1.16.2 due to the version discrepancy. See https://kubernetes.io/docs/setup/version-skew-policy/ for more information.
   2.9 >>> | 
   2.9 TEL | END SPAN startup.py:83(set_kube_command)    2.9s
   2.9 TEL | [7] Running: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo get dc/recommendation-v1-v1-feature-x
   4.0   7 | Error from server (NotFound): deploymentconfigs.apps.openshift.io "recommendation-v1-v1-feature-x" not found
   4.0 TEL | [7] exit 1 in 1.12 secs.
   4.0 >>> | Failed to find OpenShift deploymentconfig recommendation-v1-v1-feature-x:
   4.0 >>> |   Error from server (NotFound): deploymentconfigs.apps.openshift.io "recommendation-v1-v1-feature-x" not found
   4.0 >>> | Will try regular Kubernetes Deployment.
   4.0 TEL | Found ssh -> /usr/bin/ssh
   4.0 TEL | [8] Capturing: ssh -V
   4.1 TEL | [8] captured in 0.02 secs.
   4.1 TEL | Found mvn -> /home/aslak/dev/tools/apache-maven-3.6.2//bin/mvn
   4.1 TEL | Found torsocks -> /usr/bin/torsocks
   4.1 TEL | Found sshfs -> /usr/bin/sshfs
   4.1 TEL | Found fusermount -> /usr/bin/fusermount
   4.1 TEL | [9] Running: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo get pods telepresence-connectivity-check --ignore-not-found
   5.2 TEL | [9] ran in 1.10 secs.
   5.7 TEL | Scout info: {'latest_version': '0.104', 'application': 'telepresence', 'notices': []}
